year,ru,be,be_share
2015.0,1781.0,4.166666666666667,0.23340491083932405
2016.0,1861.75,4.0,0.21439099557818572
2017.0,1961.25,3.5,0.1781397124316071
2018.0,2040.4166666666667,2.666666666666667,0.13052167883509402
2019.0,2127.8333333333335,3.4166666666666665,0.1603128054740958
2020.0,2202.0833333333335,3.166666666666667,0.1435967199486075
2021.0,2309.9166666666665,3.0833333333333335,0.13330451073641736
2022.0,2306.25,3.1666666666666665,0.13711976328798758
2023.0,2346.75,2.75,0.11704618003830602
2024.0,2238.9166666666665,3.8333333333333335,0.17092111618920225
2025.0,2282.5,3.916666666666667,0.17130152713489086
