year,ru,be
2015.0,79.16666666666667,2.5833333333333335
2016.0,77.41666666666667,1.9166666666666667
2017.0,70.33333333333333,1.6666666666666667
2018.0,69.58333333333333,1.1666666666666667
2019.0,72.66666666666667,1.5833333333333333
2020.0,78.16666666666667,1.5
2021.0,75.25,1.6666666666666667
2022.0,70.83333333333333,1.3333333333333333
2023.0,66.66666666666667,1.0
2024.0,56.583333333333336,1.0
2025.0,52.416666666666664,1.0
2015.0,77.0,0.0
2016.0,75.58333333333333,0.0
2017.0,71.08333333333333,0.0
2018.0,73.75,0.0
2019.0,80.58333333333333,0.0
2020.0,86.75,0.0
2021.0,87.41666666666667,0.0
2022.0,82.91666666666667,0.0
2023.0,83.0,0.0
2024.0,78.91666666666667,0.0
2025.0,83.16666666666667,0.0
2015.0,52.5,0.0
2016.0,48.166666666666664,0.0
2017.0,45.083333333333336,0.0
2018.0,51.5,0.0
2019.0,57.083333333333336,0.0
2020.0,58.166666666666664,0.0
2021.0,66.25,0.0
2022.0,76.58333333333333,0.0
2023.0,82.66666666666667,0.0
2024.0,78.91666666666667,0.0
2025.0,86.33333333333333,0.0
2015.0,25.75,0.0
2016.0,26.666666666666668,0.0
2017.0,24.833333333333332,0.0
2018.0,27.166666666666668,0.0
2019.0,27.916666666666668,0.0
2020.0,27.25,0.0
2021.0,44.333333333333336,0.0
2022.0,27.666666666666668,0.0
2023.0,27.916666666666668,0.0
2024.0,25.25,0.0
2025.0,27.0,0.0
2015.0,74.08333333333333,0.0
2016.0,73.66666666666667,0.0
2017.0,77.33333333333333,0.0
2018.0,82.83333333333333,0.0
2019.0,84.91666666666667,0.08333333333333333
2020.0,88.5,0.3333333333333333
2021.0,89.0,0.16666666666666666
2022.0,82.66666666666667,0.25
2023.0,77.5,0.16666666666666666
2024.0,70.83333333333333,0.08333333333333333
2025.0,67.0,0.16666666666666666
2015.0,33.916666666666664,0.0
2016.0,55.416666666666664,0.0
2017.0,69.83333333333333,0.0
2018.0,68.0,0.0
2019.0,75.41666666666667,0.0
2020.0,69.58333333333333,0.0
2021.0,69.5,0.0
2022.0,60.75,0.0
2023.0,37.833333333333336,0.0
2024.0,30.333333333333332,0.0
2025.0,26.416666666666668,0.0
2015.0,50.833333333333336,0.0
2016.0,58.75,0.0
2017.0,66.16666666666667,0.0
2018.0,72.5,0.08333333333333333
2019.0,71.75,0.0
2020.0,66.08333333333333,0.0
2021.0,67.5,0.0
2022.0,64.16666666666667,0.0
2023.0,76.41666666666667,0.0
2024.0,73.75,0.0
2025.0,71.83333333333333,0.0
2015.0,38.583333333333336,0.0
2016.0,35.333333333333336,0.0
2017.0,33.416666666666664,0.0
2018.0,33.333333333333336,0.0
2019.0,33.0,0.0
2020.0,29.25,0.0
2021.0,31.333333333333332,0.0
2022.0,30.75,0.0
2023.0,33.0,0.0
2024.0,33.916666666666664,0.0
2025.0,34.166666666666664,0.0
2015.0,48.0,0.0
2016.0,47.083333333333336,0.0
2017.0,52.083333333333336,0.08333333333333333
2018.0,47.583333333333336,0.08333333333333333
2019.0,53.416666666666664,0.16666666666666666
2020.0,57.083333333333336,0.08333333333333333
2021.0,57.0,0.16666666666666666
2022.0,59.666666666666664,0.25
2023.0,66.16666666666667,0.4166666666666667
2024.0,62.583333333333336,0.5833333333333334
2025.0,64.5,0.4166666666666667
2015.0,71.5,0.0
2016.0,67.5,0.0
2017.0,61.583333333333336,0.0
2018.0,63.083333333333336,0.0
2019.0,59.833333333333336,0.0
2020.0,61.916666666666664,0.0
2021.0,58.416666666666664,0.0
2022.0,56.75,0.0
2023.0,62.166666666666664,0.0
2024.0,58.5,0.0
2025.0,64.83333333333333,0.0
2015.0,55.166666666666664,1.4166666666666667
2016.0,55.833333333333336,2.0
2017.0,54.666666666666664,1.4166666666666667
2018.0,56.5,1.3333333333333333
2019.0,58.666666666666664,1.1666666666666667
2020.0,56.916666666666664,1.1666666666666667
2021.0,60.25,1.0
2022.0,68.75,1.1666666666666667
2023.0,71.83333333333333,1.1666666666666667
2024.0,75.33333333333333,1.6666666666666667
2025.0,79.5,1.75
2015.0,71.16666666666667,0.0
